序号,province,year,文件名,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength
625,江苏省,2017,张家港市政府办公室关于成立张家港市政府与社...(FBM-CLI.14.7875279).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
626,江苏省,2017,徐州市政府关于完善政府和社会资本合作(PPP)模式...(FBM-CLI.12.1434591).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
627,江苏省,2017,徐州市政府办公室关于印发《徐州市市级政府和...(FBM-CLI.12.1407094).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
628,江苏省,2017,徐州市贾汪区人民政府关于完善政府和社会资本...(FBM-CLI.14.7887175).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
629,江苏省,2017,新沂市政府关于完善政府和社会资本合作(PPP)模式...(FBM-CLI.14.7890232).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
630,江苏省,2017,无锡市财政局关于转发《江苏省财政厅关于进一...(FBM-CLI.12.2459324).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
631,江苏省,2017,无锡市财政局关于转发《江苏省财政厅关于进一...(FBM-CLI.12.6016802).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
632,江苏省,2017,江苏省财政厅关于2017年度第一批政府和社会资本...(FBM-CLI.14.1263573).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
633,江苏省,2017,江苏省财政厅关于2017年度第三批政府和社会资本...(FBM-CLI.14.5024709).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
634,江苏省,2017,江苏省财政厅关于2017年度第二批政府和社会资本...(FBM-CLI.14.5024735).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
635,江苏省,2017,江苏省财政厅关于2017年度第四批政府和社会资本...(FBM-CLI.14.5024671).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
636,江苏省,2017,江苏省财政厅关于进一步推进政府和社会资本合...(FBM-CLI.12.5024677).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
637,江苏省,2017,江苏省财政厅关于进一步鼓励、支持民营资本参...(FBM-CLI.12.5015587).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.5
638,江苏省,2017,江苏省财政厅转发财政部关于在公共服务领域深...(FBM-CLI.14.1263529).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
639,江苏省,2017,江苏省财政厅转发财政部关于规范政府和社会资...(FBM-CLI.12.5015578).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
640,江苏省,2017,沭阳县政府办公室关于印发公共服务领域推广政...(FBM-CLI.12.7988886).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,1.0
641,江苏省,2017,泗洪县政府办公室关于调整政府和社会资本合作...(FBM-CLI.14.7992075).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
642,江苏省,2017,泰兴市政府印发《关于在公共服务领域推广政府...(FBM-CLI.12.7999047).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
643,江苏省,2017,泰州市财政局转发财政部关于在公共服务领域深...(FBM-CLI.14.6099458).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
644,江苏省,2017,淮安市政府关于规范政府与社会资本合作模式的...(FBM-CLI.12.1422329).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
645,江苏省,2017,盐城市人民政府关于推广政府和社会资本合作模...(FBM-CLI.12.1291049).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
646,江苏省,2017,苏州市财政局关于进一步鼓励、支持民营资本参...(FBM-CLI.12.4048161).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.5
647,江苏省,2017,高邮市人民政府办公室关于印发《高邮市推进政...(FBM-CLI.14.8025677).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
648,江苏省,2018,区政府关于淮安市淮阴港区城东作业区、交通基...(FBM-CLI.14.7965238).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
649,江苏省,2018,南京市财政局关于印发《政府和社会资本合作(...(FBM-CLI.12.2483945).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
650,江苏省,2018,南通市政府办公室关于加快推进政府和社会资本...(FBM-CLI.12.1441354).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
651,江苏省,2018,宜兴市人民政府关于印发《关于深入推进政府和...(FBM-CLI.12.7886980).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
652,江苏省,2018,昆山市政府办公室关于印发在公共服务领域推广...(FBM-CLI.12.7867777).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,1.0
653,江苏省,2018,江苏省财政厅关于2018年度第一批政府和社会资本...(FBM-CLI.14.1449572).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.75
654,江苏省,2018,江苏省财政厅关于2018年度第三批政府和社会资本...(FBM-CLI.14.5015320).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.75
655,江苏省,2018,江苏省财政厅关于2018年度第二批政府和社会资本...(FBM-CLI.14.5015372).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
656,江苏省,2018,江苏省财政厅关于公开征集江苏省政府和社会资...(FBM-CLI.14.5012815).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
657,江苏省,2018,江苏省财政厅关于印发《政府和社会资本合作(...(FBM-CLI.12.7486045).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
658,江苏省,2018,江苏省财政厅关于印发《江苏省政府和社会资本...(FBM-CLI.12.1468085).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.5
659,江苏省,2018,江苏省财政厅关于印发《江苏省政府和社会资本...(FBM-CLI.12.5015385).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
660,江苏省,2018,江苏省财政厅关于印发《江苏省政府和社会资本...(FBM-CLI.12.5015392).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
661,江苏省,2018,江苏省财政厅关于建立全省政府和社会资本合作...(FBM-CLI.12.1542988).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
662,江苏省,2018,泰兴市人民政府关于转发《省财政厅关于印发江...(FBM-CLI.12.8006761).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
663,江苏省,2018,泰州市政府关于印发泰州市市级政府投资项目管...(FBM-CLI.12.1507762).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
664,江苏省,2018,泰州市财政局关于申报第二批政府和社会资本合...(FBM-CLI.14.6096509).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
665,江苏省,2018,盐城市人民政府办公室关于印发2018年全市深化投...(FBM-CLI.14.1464348).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
666,江苏省,2019,南京市浦口区人民政府办公室关于印发《浦口区...(FBM-CLI.12.7865854).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
667,江苏省,2019,如皋市政府办公室关于印发《如皋市政府和社会...(FBM-CLI.12.7980734).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
668,江苏省,2019,常州市财政局、常州市发改委关于公开征集常州...(FBM-CLI.14.8673479).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
669,江苏省,2019,江苏省财政厅关于2019年度第一批政府和社会资本...(FBM-CLI.14.5011488).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
670,江苏省,2019,江苏省财政厅关于2019年度第三批政府和社会资本...(FBM-CLI.14.5011321).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
671,江苏省,2019,江苏省财政厅关于2019年度第二批政府和社会资本...(FBM-CLI.14.5011395).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
672,江苏省,2019,江苏省财政厅关于开展江苏省政府和社会资本合...(FBM-CLI.14.1539669).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
673,江苏省,2019,江苏省财政厅关于进一步加强政府和社会资本合...(FBM-CLI.12.5011445).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
674,江苏省,2019,江苏省财政厅关于进一步提高政府和社会资本合...(FBM-CLI.12.2843731).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
675,江苏省,2019,泰州市海陵区政府关于印发《泰州市海陵区区级...(FBM-CLI.12.7995944).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
676,江苏省,2020,南京市财政局关于加强政府和社会资本合作(PPP)项...(FBM-CLI.14.7561526).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.125
677,江苏省,2020,常州市财政局关于开展2020年度常州市政府和社会...(FBM-CLI.14.8639624).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
678,江苏省,2020,江苏省财政厅关于2020年度第一批政府和社会资本...(FBM-CLI.14.1579135).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
679,江苏省,2020,江苏省财政厅关于2020年度第三批政府和社会资本...(FBM-CLI.14.1617868).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
680,江苏省,2020,江苏省财政厅关于2020年度第二批政府和社会资本...(FBM-CLI.14.5011212).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
681,江苏省,2020,江苏省财政厅关于2020年度第四批政府和社会资本...(FBM-CLI.14.1643991).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
682,江苏省,2020,江苏省财政厅关于开展2020年度全省政府和社会资...(FBM-CLI.14.5011215).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
683,江苏省,2020,江苏省财政厅关于组织申报2020年度省级政府和社...(FBM-CLI.14.1611155).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
684,江苏省,2020,江苏省财政厅关于进一步加强PPP项目绩效管理的...(FBM-CLI.12.1637550).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
685,江苏省,2020,江苏省财政厅关于进一步提高政府和社会资本合...(FBM-CLI.12.5011159).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.375
686,江苏省,2020,溧阳市财政局关于印发《溧阳市政府和社会资本...(FBM-CLI.12.7952363).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.75
687,江苏省,2021,江苏省财政厅关于2021年度第一批政府和社会资本...(FBM-CLI.14.1698112).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
688,江苏省,2021,江苏省财政厅关于进一步加强政府和社会资本合...(FBM-CLI.12.1685348).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
689,江苏省,2021,泰兴市财政局关于开展第二季度政府和社会资本...(FBM-CLI.14.8007435).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
690,江苏省,2022,扬州市财政局转发关于做好2022年度全省政府和社...(FBM-CLI.14.9108446).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
691,江苏省,2022,江苏省财政厅关于做好2022年度全省政府和社会资...(FBM-CLI.14.5111792).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
692,江苏省,2022,泰州市财政局转发《财政部关于进一步推动政府...(FBM-CLI.14.5687545).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
693,江苏省,2024,常州市财政局、常州市发展和改革委员会关于废...(FBM-CLI.12.8674974).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
694,江苏省,2024,徐州市财政局关于废止我市部分政府和社会资本...(FBM-CLI.12.7462831).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.75
695,江苏省,2024,江苏省财政厅关于废止我省部分政府和社会资本...(FBM-CLI.12.7447564).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.5
696,江苏省,2024,江苏省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.8705270).txt,12,12_江苏省_江苏省 财政厅_南京_入库,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
697,江苏省,2024,溧阳市财政局关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7958345).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
698,新疆 16,2015,克拉玛依市人民政府办公室关于成立克拉玛依市...(FBM-CLI.14.1154608).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
699,新疆 16,2015,新疆生产建设兵团办公厅印发《兵团关于在公共...(FBM-CLI.12.7258031).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.375
700,新疆 16,2015,新疆维吾尔自治区人民政府办公厅关于在公共服...(FBM-CLI.12.1120743).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,1.0
701,新疆 16,2016,乌鲁木齐市财政局关于公布乌鲁木齐市政府与社...(FBM-CLI.14.1189532).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
702,新疆 16,2016,乌鲁木齐市财政局关于公布乌鲁木齐市政府与社...(FBM-CLI.14.1206621).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
703,新疆 16,2016,喀什地区行政公署关于建立政府和社会资本合作...(FBM-CLI.12.1744363).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.125
704,新疆 16,2016,新疆自治区发展改革委关于发布2016年自治区面向...(FBM-CLI.14.1276637).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
705,新疆 16,2017,乌鲁木齐市财政局关于公布乌鲁木齐市政府和社...(FBM-CLI.14.1259950).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
706,新疆 16,2017,新疆生产建设兵团关于印发《在公共服务领域实...(FBM-CLI.12.1402610).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.75
707,新疆 16,2017,新疆生产建设兵团发展和改革委员会关于加快建...(FBM-CLI.12.7736909).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
708,新疆 16,2017,新疆维吾尔自治区发展改革委关于做好基础设施...(FBM-CLI.14.6869952).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
709,新疆 16,2019,新疆维吾尔自治区财政厅关于印发《自治区本级...(FBM-CLI.12.1545898).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
710,新疆 16,2020,巴音郭楞蒙古自治州人民政府关于对S340哈尔莫墩...(FBM-CLI.14.4793094).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
711,新疆 16,2021,巴音郭楞蒙古自治州人民政府关于对巴州轮台县...(FBM-CLI.14.4793054).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
712,新疆 16,2021,巴音郭楞蒙古自治州人民政府关于对新疆巴州人...(FBM-CLI.14.4793311).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.125
713,新疆 16,2021,巴音郭楞蒙古自治州人民政府关于巴州轮台县阳...(FBM-CLI.14.4793068).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
714,广西 146,2015,北海市人民政府办公室关于成立推广政府和社会...(FBM-CLI.14.1114908).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
715,广西 146,2015,广西壮族自治区人民政府办公厅关于推广运用政...(FBM-CLI.12.1109436).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
716,广西 146,2015,广西壮族自治区财政厅、广西壮族自治区住房城...(FBM-CLI.14.1121265).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
717,广西 146,2015,广西壮族自治区财政厅、广西壮族自治区发展和...(FBM-CLI.12.1163252).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
718,广西 146,2015,广西壮族自治区财政厅、广西壮族自治区发展和...(FBM-CLI.12.2200328).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
719,广西 146,2015,广西壮族自治区财政厅关于政府和社会资本合作...(FBM-CLI.12.2200244).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
720,广西 146,2015,德保县人民政府关于成立德保县开展政府和社会...(FBM-CLI.14.4192676).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
721,广西 146,2015,来宾市人民政府办公室关于来宾市政府与社会资...(FBM-CLI.12.1153259).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
722,广西 146,2015,玉林市人民政府办公室关于成立玉林市开展政府...(FBM-CLI.14.1086389).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
723,广西 146,2015,玉林市人民政府办公室关于推广运用政府和社会...(FBM-CLI.12.1171107).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
724,广西 146,2015,百色市人民政府办公室关于成立百色市开展政府...(FBM-CLI.14.1122566).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
725,广西 146,2015,贺州市人民政府办公室关于印发贺州市推广运用...(FBM-CLI.14.1095502).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
726,广西 146,2015,钟山县人民政府办公室关于印发钟山县政府和社...(FBM-CLI.14.5336011).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
727,广西 146,2015,钦州市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1119768).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
728,广西 146,2015,钦州市人民政府办公室关于印发《钦州市政府和...(FBM-CLI.14.3960619).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
729,广西 146,2015,钦州市人民政府办公室关于成立钦州市开展政府...(FBM-CLI.14.1086700).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
730,广西 146,2015,钦州市钦北区人民政府关于开展政府和社会资本...(FBM-CLI.12.4184075).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
731,广西 146,2015,钦州市钦北区人民政府办公室关于成立钦北区开...(FBM-CLI.14.8819433).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.875
732,广西 146,2016,北海市人民政府关于推广政府与社会资本合作(...(FBM-CLI.12.3956569).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
733,广西 146,2016,南宁市人民政府办公厅关于进一步推广运用政府...(FBM-CLI.12.1235330).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
734,广西 146,2016,南宁市推进政府和社会资本合作(PPP)工作领导小组...(FBM-CLI.14.6226765).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.125
735,广西 146,2016,广西壮族自治区人民政府关于印发深入推进新型...(FBM-CLI.14.1227999).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
736,广西 146,2016,广西壮族自治区财政厅、广西壮族自治区发展和...(FBM-CLI.14.2194688).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
737,广西 146,2016,广西壮族自治区财政厅关于公开选聘广西政府投...(FBM-CLI.12.1163359).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.5
738,广西 146,2016,广西壮族自治区财政厅关于公开选聘广西政府投...(FBM-CLI.12.1179342).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.75
739,广西 146,2016,广西壮族自治区财政厅关于加大财政扶持力度推...(FBM-CLI.14.2192645).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
740,广西 146,2016,广西壮族自治区财政厅关于强化改革确保PPP改革...(FBM-CLI.12.1224679).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
741,广西 146,2016,德保县人民政府关于在公共服务领域推广政府和...(FBM-CLI.12.4192466).txt,7,7_有利于_公共服务 供给_民营 资本_转变,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
742,广西 146,2016,柳城县人民政府办公室关于印发柳城县本级政府...(FBM-CLI.14.4172604).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
743,广西 146,2016,柳江县人民政府关于印发柳江县人民政府关于推...(FBM-CLI.12.4159480).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
744,广西 146,2016,桂林市人民政府关于印发桂林市推广运用政府和...(FBM-CLI.12.3938603).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
745,广西 146,2016,梧州市人民政府办公室关于专门明确我市政府和...(FBM-CLI.12.1169692).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
746,广西 146,2016,梧州市人民政府办公室转发市财政局关于我市推...(FBM-CLI.12.1172590).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
747,广西 146,2016,横县人民政府办公室转发广西壮族自治区人民政...(FBM-CLI.14.4165065).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
748,广西 146,2016,玉林市人民政府办公室关于印发推进政府和社会...(FBM-CLI.14.1206862).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
749,广西 146,2016,贵港市人民政府办公室关于在公共领域推广运用...(FBM-CLI.12.3960891).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
750,广西 146,2016,龙州县人民政府办公室关于印发龙州县开展政府...(FBM-CLI.14.4140241).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
751,广西 146,2017,东兰县人民政府办公室关于成立东兰县推进政府...(FBM-CLI.14.4130305).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,1.0
752,广西 146,2017,北流市人民政府办公室关于印发北流市推进政府...(FBM-CLI.14.4136750).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.125
